sent_time,chat_message,cluster_num,x,y
00:00:37.152000,h\1\1 !,8,-0.38318133,-1.6068476
00:00:37.192000,h\1\1 !,8,-0.38318133,-1.6068476
00:00:37.219000,he\1\1\1\1 how are you ?,11,1.5846722,-0.1407957
00:00:37.636000,your outfit is so cute !,11,1.5379989,-0.059701078
00:00:37.661000,hello,1,-0.9108303,-0.45763686
00:00:37.710000,h\1\1,6,-0.9812609,-0.7538617
00:00:37.761000,hi,1,-0.86891156,-0.3875266
00:00:37.892000,heyy,6,-1.0509142,-1.1937371
00:00:37.920000,hi !,8,-0.23769423,-1.3979746
00:00:38.421000,oahh,6,-1.0562339,-0.8713716
00:00:38.497000,hey !,8,-0.2248543,-1.1769686
00:00:38.612000,good afternoon !,5,0.4308324,-0.49027783
00:00:38.712000,hi !,8,-0.23769423,-1.3979746
00:00:38.866000,h\1\1,6,-0.9812609,-0.7538617
00:00:38.969000,hello ! 1 enjoy your stream today stay happy,2,1.5524468,-1.2698234
00:00:39.048000,h\1\1,6,-0.9812609,-0.7538617
00:00:39.274000,hi,1,-0.86891156,-0.3875266
00:00:39.280000,hi,1,-0.86891156,-0.3875266
00:00:39.472000,hi !,8,-0.23769423,-1.3979746
00:00:39.530000,hi,1,-0.86891156,-0.3875266
00:00:39.582000,ya\1\1,6,-1.0214362,-0.65103215
00:00:39.642000,h\1\1,6,-0.9812609,-0.7538617
00:00:39.713000,hey ! you look adorable,5,1.0914245,-0.5383959
00:00:39.777000,he\1\1o,6,-1.0484828,-1.213398
00:00:39.825000,hell\1\1,6,-1.047774,-1.1831256
00:00:39.905000,hi syk,8,-0.48974198,-1.1195525
00:00:39.920000,woah,7,-0.93239707,0.2564531
00:00:40.137000,hi,1,-0.86891156,-0.3875266
00:00:40.156000,heww\1\1,6,-1.0493344,-1.1090792
00:00:40.258000,eat your greens,0,0.97983515,0.5253719
00:00:40.283000,hii,6,-1.0089227,-1.3444159
00:00:40.289000,h\1\1,6,-0.9812609,-0.7538617
00:00:40.399000,hello !,8,-0.25256678,-1.400702
00:00:40.478000,what a great day,15,1.1889882,0.5763817
00:00:40.539000,new outfit,12,0.055941362,0.44122103
00:00:40.594000,ho,6,-1.0757722,-0.8843852
00:00:40.612000,hello !,8,-0.25256678,-1.400702
00:00:40.691000,he\1\1\1\1,6,-1.0477854,-1.0807682
00:00:40.755000,monkaw,7,-0.9573655,0.15338331
00:00:40.957000,hello,1,-0.9108303,-0.45763686
00:00:41.009000,h\1\1ll\1\1,6,-1.0856837,-1.1711453
00:00:41.100000,what happen ?,0,0.59850675,0.2492919
00:00:41.131000,hello !,8,-0.25256678,-1.400702
00:00:41.134000,lookin good as always okay,0,0.770039,0.46661562
00:00:41.201000,hi,1,-0.86891156,-0.3875266
00:00:41.210000,yo !,8,-0.34014633,-1.7082466
00:00:42.332000,hi !,8,-0.23769423,-1.3979746
00:00:42.384000,you look cute,15,0.9418841,0.7829083
00:00:42.402000,hii !,8,-0.38828215,-1.8322597
00:00:42.402000,hi !,8,-0.23769423,-1.3979746
00:00:42.783000,h\1\1,6,-0.9812609,-0.7538617
00:00:42.789000,aye,7,-1.013979,0.17116794
00:00:42.801000,oh hey,14,-0.3728675,-0.26694897
00:00:42.840000,hewwo,6,-0.96505654,-1.066277
00:00:42.945000,hi,1,-0.86891156,-0.3875266
00:00:43.261000,h\1\1,6,-0.9812609,-0.7538617
00:00:43.383000,whats that in your neck ?,15,1.3358344,0.5119259
00:00:43.405000,love the outfit today,15,0.9257306,0.7139179
00:00:43.537000,what happended to ur neck,11,1.1932817,0.13185547
00:00:43.570000,h\1\1,6,-0.9812609,-0.7538617
00:00:43.643000,hell\1\1,6,-1.047774,-1.1831256
00:00:43.780000,hi,1,-0.86891156,-0.3875266
00:00:43.786000,hell\1\1 !,8,-0.44633326,-1.7901243
00:00:43.932000,\1\1\1\1,6,-1.0578499,-0.8628705
00:00:44.048000,h\1\1,6,-0.9812609,-0.7538617
00:00:44.095000,hi,1,-0.86891156,-0.3875266
00:00:44.121000,hello syk :) ),8,0.15764415,-1.6052171
00:00:44.220000,hi,1,-0.86891156,-0.3875266
00:00:44.595000,good morning !,5,0.4988882,-0.41183686
00:00:44.631000,miss you,13,0.59603274,1.44516
00:00:44.854000,hey,1,-0.8624938,-0.014734271
00:00:44.911000,hello,1,-0.9108303,-0.45763686
00:00:44.988000,afternoon !,14,-0.26471877,-1.0028161
00:00:45.039000,hi syk,8,-0.48974198,-1.1195525
00:00:45.055000,hii !,8,-0.38828215,-1.8322597
00:00:45.064000,hell\1\1 !,8,-0.44633326,-1.7901243
00:00:45.152000,are u ok ?,11,1.1857928,0.10736764
00:00:45.183000,hello,1,-0.9108303,-0.45763686
00:00:45.320000,damn looking good syk,5,0.5802054,-0.284649
00:00:45.371000,hello,1,-0.9108303,-0.45763686
